name,characteristics,cost_in_game,image
Amn Rune,Rune 11 of 33 / runeword material,60,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Sol Rune,Rune 12 of 33 / runeword material,70,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Shael Rune,Rune 13 of 33 / runeword material,120,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Dol Rune,Rune 14 of 33 / runeword material,100,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Hel Rune,Rune 15 of 33 / runeword material,90,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Io Rune,Rune 16 of 33 / runeword material,90,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Lum Rune,Rune 17 of 33 / runeword material,90,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ko Rune,Rune 18 of 33 / runeword material,110,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Fal Rune,Rune 19 of 33 / runeword material,110,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Lem Rune,Rune 20 of 33 / runeword material,130,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Pul Rune,Rune 21 of 33 / runeword material,200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Um Rune,Rune 22 of 33 / runeword material,450,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Mal Rune,Rune 23 of 33 / runeword material,600,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ist Rune,Rune 24 of 33 / runeword material,700,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
